,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,2,Part2_0,0,3,3
2,4,Part4_0,0,5,5
3,1,Part1_0,0,2,2
4,3,Part3_0,0,4,4
5,0,Part0_1,1,2,1
6,1,Part0_0,2,7,5
7,2,Part1_0,3,8,5
8,0,Part0_2,3,4,1
9,3,Part2_0,4,9,5
10,4,Part3_0,5,10,5
11,0,Part4_0,5,10,5
12,1,Part0_1,7,12,5
13,2,Part0_0,8,13,5
14,3,Part3_1,9,13,4
15,0,Part3_0,10,15,5
16,4,Part2_0,10,15,5
17,1,Part0_2,12,17,5
18,3,Part1_0,13,18,5
19,2,Part0_1,13,18,5
20,0,Part2_0,15,20,5
21,4,Part3_1,15,20,5
22,1,Part1_1,17,19,2
23,2,Part2_1,18,21,3
24,3,Part0_0,18,23,5
25,1,Part4_0,19,24,5
26,4,Part1_0,20,25,5
27,0,Part3_1,20,25,5
28,2,Part0_2,21,26,5
29,3,Part0_1,23,28,5
30,1,Part3_0,24,29,5
31,0,Part0_3,25,26,1
32,4,Part0_0,25,30,5
33,2,Part1_1,26,31,5
34,0,Part1_0,26,31,5
35,3,Part3_2,28,32,4
36,1,Part2_0,29,34,5
37,4,Part0_1,30,35,5
38,2,Part4_0,31,36,5
39,3,Part2_1,32,37,5
40,1,Part3_1,34,39,5
41,4,Part3_2,35,40,5
42,2,Part3_0,36,41,5
43,3,Part0_2,37,42,5
44,1,Part0_3,39,44,5
45,0,Part3_2,40,45,5
46,4,Part2_1,40,45,5
47,2,Part2_2,41,44,3
48,3,Part1_1,42,47,5
49,2,Part3_1,44,49,5
50,0,Part2_1,45,50,5
51,1,Part3_2,45,50,5
52,4,Part0_2,45,50,5
53,3,Part4_0,47,52,5
54,2,Part0_3,49,54,5
55,1,Part1_2,50,52,2
56,4,Part1_1,50,55,5
57,1,Part2_1,52,57,5
58,3,Part2_2,52,57,5
59,2,Part3_2,54,59,5
60,0,Part1_1,55,60,5
61,4,Part4_1,56,61,5
62,1,Part1_3,57,59,2
63,3,Part3_3,57,61,4
64,2,Part1_2,59,64,5
65,4,Part2_2,61,66,5
66,3,Part0_3,61,66,5
67,0,Part4_1,61,66,5
68,2,Part1_3,64,69,5
69,3,Part1_2,66,71,5
70,1,Part4_1,66,71,5
71,4,Part3_3,66,71,5
72,0,Part2_2,66,71,5
73,3,Part1_3,71,76,5
74,1,Part1_4,71,73,2
75,4,Part0_3,71,76,5
76,2,Part4_1,71,76,5
77,0,Part3_3,71,76,5
78,1,Part2_2,73,78,5
79,4,Part1_2,76,81,5
80,3,Part3_4,76,80,4
81,2,Part1_4,76,81,5
82,1,Part3_3,78,83,5
83,3,Part4_1,80,85,5
84,4,Part1_3,81,86,5
85,0,Part1_2,81,86,5
86,2,Part3_3,83,88,5
87,3,Part1_4,85,90,5
88,0,Part1_3,86,91,5
89,4,Part3_4,86,91,5
90,0,Part3_4,91,96,5
91,4,Part1_4,91,96,5
92,2,Part2_3,92,95,3
