,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,1,1
1,3,Part3_0,0,4,4
2,1,Part1_0,0,2,2
3,4,Part4_0,0,5,5
4,2,Part2_0,0,3,3
5,1,Part0_0,2,7,5
6,2,Part1_0,3,8,5
7,3,Part2_0,4,9,5
8,0,Part0_1,5,6,1
9,4,Part4_1,5,10,5
10,0,Part4_0,6,11,5
11,1,Part0_1,7,12,5
12,2,Part0_0,8,13,5
13,3,Part1_0,9,14,5
14,4,Part3_0,10,15,5
15,0,Part4_1,11,16,5
16,1,Part4_0,12,17,5
17,2,Part0_1,13,18,5
18,3,Part0_0,14,19,5
19,4,Part2_0,15,20,5
20,0,Part0_2,16,17,1
21,1,Part4_1,17,22,5
22,0,Part3_0,17,22,5
23,2,Part2_1,18,21,3
24,3,Part0_1,19,24,5
25,4,Part1_0,20,25,5
26,2,Part4_0,21,26,5
27,0,Part0_3,22,23,1
28,1,Part0_2,22,27,5
29,0,Part2_0,23,28,5
30,3,Part2_1,24,29,5
31,4,Part4_2,25,30,5
32,2,Part2_2,26,29,3
33,1,Part3_0,27,32,5
34,0,Part1_0,28,33,5
35,3,Part4_0,29,34,5
36,2,Part2_3,29,32,3
37,4,Part0_0,30,35,5
38,2,Part4_1,32,37,5
39,1,Part0_3,32,37,5
40,0,Part4_2,33,38,5
41,3,Part2_2,34,39,5
42,4,Part4_3,35,40,5
43,2,Part0_2,37,42,5
44,1,Part2_0,37,42,5
45,3,Part2_3,39,44,5
46,4,Part4_4,40,45,5
47,0,Part4_3,40,45,5
48,2,Part2_4,42,45,3
49,1,Part4_2,42,47,5
50,3,Part4_1,44,49,5
51,2,Part3_0,45,50,5
52,0,Part4_4,45,50,5
53,4,Part4_5,45,50,5
54,1,Part4_3,47,52,5
55,3,Part0_2,49,54,5
56,2,Part0_3,50,55,5
57,0,Part0_4,50,51,1
58,4,Part0_1,50,55,5
59,0,Part4_5,51,56,5
60,1,Part4_4,52,57,5
61,3,Part2_4,54,59,5
62,4,Part2_1,55,60,5
63,2,Part4_2,55,60,5
64,0,Part0_5,56,57,1
65,1,Part0_4,57,62,5
66,3,Part3_1,59,63,4
67,4,Part4_6,60,65,5
68,2,Part4_3,60,65,5
69,0,Part2_1,60,65,5
70,1,Part4_5,62,67,5
71,3,Part0_3,63,68,5
72,0,Part0_6,65,66,1
73,4,Part2_2,65,70,5
74,2,Part4_4,65,70,5
75,0,Part4_6,66,71,5
76,1,Part0_5,67,72,5
77,3,Part4_2,68,73,5
78,2,Part0_4,70,75,5
79,4,Part2_3,70,75,5
80,0,Part2_2,71,76,5
81,1,Part2_1,72,77,5
82,3,Part3_2,73,77,4
83,4,Part4_7,75,80,5
84,2,Part4_5,75,80,5
85,0,Part2_3,76,81,5
86,3,Part4_3,77,82,5
87,1,Part0_6,77,82,5
88,4,Part0_2,80,85,5
89,2,Part2_5,80,83,3
90,0,Part4_7,81,86,5
91,1,Part4_6,82,87,5
92,3,Part4_4,82,87,5
93,2,Part2_6,83,86,3
94,4,Part2_4,85,90,5
95,2,Part0_5,86,91,5
96,1,Part2_2,87,92,5
97,3,Part0_4,87,92,5
98,0,Part2_4,90,95,5
99,4,Part3_1,90,95,5
100,2,Part0_6,91,96,5
101,1,Part2_3,92,97,5
102,3,Part4_5,92,97,5
