,Time,Event,Part,Process,Machine
0,0.0,Part0 Created,Part0_0,Source0,
1,0.0,Part1 Created,Part1_0,Source1,
2,0.0,Part2 Created,Part2_0,Source2,
3,0.0,Part3 Created,Part3_0,Source3,
4,0.0,Part4 Created,Part4_0,Source4,
5,0.0,Routing Start,Part0_0,Source0,
6,0.0,Routing Start,Part1_0,Source1,
7,0.0,Part2 Created,Part2_1,Source2,
8,0.0,Routing Start,Part2_0,Source2,
9,0.0,Routing Start,Part3_0,Source3,
10,0.0,Routing Start,Part4_0,Source4,
11,0.0,Routing Finished,Part0_0,Source0,
12,0.0,Part transferred from Source,Part0_0,Process0,
13,0.0,Routing Finished,Part1_0,Source1,
14,0.0,Part transferred from Source,Part1_0,Process1,
15,0.0,Routing Finished,Part2_0,Source2,
16,0.0,Part transferred from Source,Part2_0,Process2,
17,0.0,Routing Finished,Part3_0,Source3,
18,0.0,Part transferred from Source,Part3_0,Process3,
19,0.0,Routing Finished,Part4_0,Source4,
20,0.0,Part transferred from Source,Part4_0,Process4,
21,0.0,Routing Start,Part2_1,Source2,
22,0.0,Routing Finished,Part2_1,Source2,
23,0.0,Part transferred from Source,Part2_1,Process2,
24,0.0,Started,Part0_0,Process0,M0
25,0.0,Started,Part1_0,Process1,M1
26,0.0,Started,Part2_0,Process2,M2
27,0.0,Started,Part3_0,Process3,M3
28,0.0,Started,Part4_0,Process4,M4
29,1.0,Finished,Part0_0,Process0,M0
30,2.0,Finished,Part1_0,Process1,M1
31,2.0,Started,Part0_0,Process1,M1
32,3.0,Finished,Part2_0,Process2,M2
33,3.0,Started,Part2_1,Process2,M2
34,4.0,Part2 Created,Part2_2,Source2,
35,4.0,Finished,Part3_0,Process3,M3
36,4.0,Routing Start,Part2_2,Source2,
37,4.0,Routing Finished,Part2_2,Source2,
38,4.0,Part transferred from Source,Part2_2,Process2,
39,4.0,Started,Part2_0,Process3,M3
40,5.0,Finished,Part4_0,Process4,M4
41,5.0,Started,Part3_0,Process4,M4
42,5.0,Started,Part4_0,Process0,M0
43,6.0,Finished,Part2_1,Process2,M2
44,6.0,Started,Part1_0,Process2,M2
45,7.0,Finished,Part0_0,Process1,M1
46,9.0,Part3 Created,Part3_1,Source3,
47,9.0,Finished,Part2_0,Process3,M3
48,9.0,Routing Start,Part3_1,Source3,
