,Time,Event,Part,Process,Machine
0,0.0,Part0 Created,Part0_0,Source0,
1,0.0,Part1 Created,Part1_0,Source1,
2,0.0,Part2 Created,Part2_0,Source2,
3,0.0,Part3 Created,Part3_0,Source3,
4,0.0,Part4 Created,Part4_0,Source4,
5,0.0,Part0 Created,Part0_1,Source0,
6,0.0,Routing Start,Part0_0,Source0,
7,0.0,Routing Start,Part1_0,Source1,
8,0.0,Routing Start,Part2_0,Source2,
9,0.0,Routing Start,Part3_0,Source3,
10,0.0,Routing Start,Part4_0,Source4,
11,0.0,Routing Finished,Part0_0,Source0,
12,0.0,Part transferred from Source,Part0_0,Process0,
13,0.0,Routing Finished,Part1_0,Source1,
14,0.0,Part transferred from Source,Part1_0,Process1,
15,0.0,Routing Finished,Part2_0,Source2,
16,0.0,Part transferred from Source,Part2_0,Process2,
17,0.0,Routing Finished,Part3_0,Source3,
18,0.0,Part transferred from Source,Part3_0,Process3,
19,0.0,Routing Finished,Part4_0,Source4,
20,0.0,Part transferred from Source,Part4_0,Process4,
21,0.0,Routing Start,Part0_1,Source0,
22,0.0,Routing Finished,Part0_1,Source0,
23,0.0,Part transferred from Source,Part0_1,Process0,
24,0.0,Started,Part0_0,Process0,M0
25,0.0,Started,Part1_0,Process1,M1
26,0.0,Started,Part2_0,Process2,M2
27,0.0,Started,Part3_0,Process3,M3
28,0.0,Started,Part4_0,Process4,M4
29,1.0,Finished,Part0_0,Process0,M0
30,1.0,Started,Part0_1,Process0,M0
31,2.0,Finished,Part1_0,Process1,M1
32,2.0,Finished,Part0_1,Process0,M0
33,2.0,Started,Part0_0,Process1,M1
34,3.0,Part1 Created,Part1_1,Source1,
35,3.0,Part3 Created,Part3_1,Source3,
36,3.0,Finished,Part2_0,Process2,M2
37,3.0,Routing Start,Part1_1,Source1,
38,3.0,Routing Start,Part3_1,Source3,
39,3.0,Routing Finished,Part1_1,Source1,
40,3.0,Part transferred from Source,Part1_1,Process1,
41,3.0,Routing Finished,Part3_1,Source3,
42,3.0,Part transferred from Source,Part3_1,Process3,
43,3.0,Started,Part1_0,Process2,M2
44,4.0,Finished,Part3_0,Process3,M3
45,4.0,Started,Part3_1,Process3,M3
46,5.0,Finished,Part4_0,Process4,M4
47,5.0,Started,Part3_0,Process4,M4
48,5.0,Started,Part4_0,Process0,M0
