,Time,Event,Part,Process,Machine
223,74.0,Started,Part0_3,Process1,M1
224,74.0,Started,Part0_2,Process2,M2
225,74.0,Started,Part1_4,Process4,M4
226,75.0,Part1 Created,Part1_5,Source1,
227,75.0,Routing Start,Part1_5,Source1,
228,75.0,Routing Finished,Part1_5,Source1,
229,75.0,Part transferred from Source,Part1_5,Process1,
230,76.0,Finished,Part4_2,Process0,M0
231,78.0,Part0 Created,Part0_4,Source0,
232,78.0,Routing Start,Part0_4,Source0,
233,78.0,Routing Finished,Part0_4,Source0,
234,78.0,Part transferred from Source,Part0_4,Process0,
235,78.0,Started,Part0_4,Process0,M0
236,79.0,Finished,Part0_3,Process1,M1
237,79.0,Finished,Part0_2,Process2,M2
238,79.0,Finished,Part1_4,Process4,M4
239,79.0,Finished,Part0_4,Process0,M0
240,79.0,Started,Part2_2,Process1,M1
241,79.0,Started,Part0_3,Process2,M2
242,79.0,Started,Part0_2,Process3,M3
243,79.0,Started,Part1_4,Process0,M0
244,80.0,Part2 Created,Part2_3,Source2,
245,80.0,Routing Start,Part2_3,Source2,
246,80.0,Routing Finished,Part2_3,Source2,
247,80.0,Part transferred from Source,Part2_3,Process2,
248,84.0,Finished,Part2_2,Process1,M1
249,84.0,Finished,Part0_3,Process2,M2
250,84.0,Finished,Part0_2,Process3,M3
251,84.0,Finished,Part1_4,Process0,M0
252,84.0,Completed,Part2_2,Sink,
253,84.0,Completed,Part1_4,Sink,
254,84.0,Started,Part1_5,Process1,M1
255,84.0,Started,Part2_3,Process2,M2
256,84.0,Started,Part0_3,Process3,M3
257,84.0,Started,Part0_2,Process4,M4
258,86.0,Finished,Part1_5,Process1,M1
259,86.0,Started,Part4_2,Process1,M1
260,87.0,Part1 Created,Part1_6,Source1,
261,87.0,Finished,Part2_3,Process2,M2
262,87.0,Routing Start,Part1_6,Source1,
263,87.0,Routing Finished,Part1_6,Source1,
264,87.0,Part transferred from Source,Part1_6,Process1,
265,87.0,Started,Part1_5,Process2,M2
266,88.0,Part0 Created,Part0_5,Source0,
267,88.0,Routing Start,Part0_5,Source0,
268,88.0,Routing Finished,Part0_5,Source0,
269,88.0,Part transferred from Source,Part0_5,Process0,
270,88.0,Started,Part0_5,Process0,M0
271,89.0,Finished,Part0_3,Process3,M3
272,89.0,Finished,Part0_2,Process4,M4
273,89.0,Finished,Part0_5,Process0,M0
274,89.0,Completed,Part0_2,Sink,
275,89.0,Started,Part2_3,Process3,M3
276,89.0,Started,Part0_3,Process4,M4
277,91.0,Finished,Part4_2,Process1,M1
278,91.0,Started,Part0_4,Process1,M1
279,92.0,Part3 Created,Part3_2,Source3,
280,92.0,Finished,Part1_5,Process2,M2
281,92.0,Routing Start,Part3_2,Source3,
282,92.0,Routing Finished,Part3_2,Source3,
283,92.0,Part transferred from Source,Part3_2,Process3,
284,92.0,Started,Part4_2,Process2,M2
285,93.0,Part4 Created,Part4_3,Source4,
286,93.0,Part1 Created,Part1_7,Source1,
287,93.0,Routing Start,Part4_3,Source4,
288,93.0,Routing Start,Part1_7,Source1,
289,93.0,Routing Finished,Part4_3,Source4,
290,93.0,Part transferred from Source,Part4_3,Process4,
291,93.0,Routing Finished,Part1_7,Source1,
292,93.0,Part transferred from Source,Part1_7,Process1,
293,94.0,Finished,Part2_3,Process3,M3
294,94.0,Finished,Part0_3,Process4,M4
295,94.0,Completed,Part0_3,Sink,
296,94.0,Started,Part3_2,Process3,M3
297,94.0,Started,Part4_3,Process4,M4
298,96.0,Finished,Part0_4,Process1,M1
299,96.0,Started,Part1_6,Process1,M1
300,97.0,Finished,Part4_2,Process2,M2
301,97.0,Started,Part0_4,Process2,M2
302,98.0,Finished,Part3_2,Process3,M3
303,98.0,Finished,Part1_6,Process1,M1
